"keyEnglish","keyLexeme","strMeaning","strBefore","strAfter","strComment","keyCommentPos","keyCommentFace","keyBeforeFace","keyAfterFace","keyVerbalMode","keyNumber","keyGender","keyForm"
349,217,"soldier",,,,0,0,0,0,0,0,0,0
350,218,"luxury",,,,0,0,0,0,0,0,0,0
351,218,"wantonness",,,,0,0,0,0,0,0,0,0
352,218,"excess",,,,0,0,0,0,0,0,0,0
353,219,"Asia",,,,0,0,0,0,0,0,0,0
354,220,"heal",,,,0,0,0,0,0,0,0,3
355,221,"physician",,,,0,0,0,0,0,0,0,0
356,222,"healing",,,,0,0,0,0,0,0,0,0
357,222,"cure",,,,0,0,0,0,0,0,0,0
358,223,"school",,,,0,0,0,0,0,0,0,0
359,223,"lecture-hall",,,,0,0,0,0,0,0,0,0
360,224,"form",,,,0,0,0,0,0,0,0,0
361,224,"fashion",,,,0,0,0,0,0,0,0,0
362,224,"figure",,,,0,0,0,0,0,0,0,0
363,225,"store up",,,,0,0,0,0,0,0,0,0
364,226,"sponge",,,,0,0,0,0,0,0,0,0
365,227,"executioner",,,,0,0,0,0,0,0,0,0
366,227,"spy",,,,0,0,0,0,0,0,0,0
367,227,"scout",,,,0,0,0,0,0,0,0,0
368,228,"cohort",,,,0,0,0,0,0,0,0,0
369,229,"Spain",,,,0,0,0,0,0,0,0,0
370,230,"asp",,,,0,0,0,0,0,0,0,0
371,230,"snake","hooded",,,0,0,0,0,0,0,0,0
372,231,"basket",,,,0,0,0,0,0,0,0,0
373,232,"bond",,,,0,0,0,0,0,0,0,0
374,232,"fetter",,,,0,0,0,0,0,0,0,0
375,232,"chain",,,,0,0,0,0,0,0,0,0
376,233,"bondage",,,,0,0,0,0,0,0,0,0
377,233,"captivity",,,,0,0,0,0,0,0,0,0
378,234,"prisoner",,,,0,0,0,0,0,0,0,0
379,234,"sergeant",,,"(w/ *RB*)",0,0,0,0,0,0,0,0
380,235,"bind",,,,0,0,0,0,0,0,0,0
381,235,"fasten",,,,0,0,0,0,0,0,0,0
382,236,"belt",,,,0,0,0,0,0,0,0,0
383,236,"girdle",,,,0,0,0,0,0,0,0,0
384,236,"zone",,,,0,0,0,0,0,0,0,0
385,,"half as",,,,0,0,0,0,0,0,0,0
386,238,"coin","a Roman copper",,,0,0,1,0,0,0,0,0
387,239,"foundation",,,,0,0,0,0,0,0,0,0
388,240,"shekel",,,,0,0,0,0,0,0,0,0
